Image_Name,Camera_Manufacturer,ISO,Shutter_Speed,Input_PSNR,Lamba_PSNR,GT_PSNR,Input_SSIM,Lamba_SSIM,GT_SSIM,ImageGT_tf,GT_Exposure_Ratio
_AJN8311.NEF,NIKON,1000,0.008,28.8290877302262,28.78418342963127,34.395151754359425,0.7405040249369462,0.7790356209302578,0.8421383494599097,False,250.0
_AJN8312.NEF,NIKON,1000,0.005555555556,28.57517150885344,29.81737264315211,34.15037245217437,0.7359239740475442,0.78085919493786,0.8257410540663406,False,359.9999999712
_AJN8313.NEF,NIKON,1000,0.004,28.53430288494508,30.09706361322545,32.94913935617287,0.7290112511676141,0.7794339183910245,0.7886531023931215,False,500.0
_AJN8314.NEF,NIKON,1000,0.002857142857,28.35922471428308,30.135959526857185,33.08749589444134,0.7360726497449751,0.7210345803997984,0.8453102658229829,False,700.000000035
_AJN8315.NEF,NIKON,2500,0.6666666667,0.0,0.0,0.0,0.0,0.0,0.0,True,1.0
_AJN8316.NEF,NIKON,2500,0.5,35.73373061665325,9.336245918973416,31.14276167196263,0.9098844391914024,0.0237747256498208,0.7431945742249582,False,1.3333333334
_AJN8317.NEF,NIKON,2500,0.3333333333,32.44489739350617,10.250730337123452,31.50291981368534,0.8858961035570855,0.1263792278433985,0.8270059684718492,False,2.0000000003
_AJN8318.NEF,NIKON,2500,0.25,33.05442469300052,10.159715894261666,31.41585522335115,0.8749699160868403,0.0311252034235948,0.7289884196890476,False,2.6666666668
_AJN8319.NEF,NIKON,2500,0.1666666667,32.825220726900525,12.89864937719914,32.03302171085749,0.8356600901303927,0.2224182090995985,0.8396408675543823,False,3.9999999994
_AJN8320.NEF,NIKON,2500,0.125,32.55072028469436,15.464070277860165,32.7983394688801,0.8186029205549775,0.3734834914419167,0.8643765012759665,False,5.3333333336
_AJN8321.NEF,NIKON,2500,0.1,32.1023574379072,15.033249232381978,33.17562008828351,0.7985107421535663,0.2298812420327775,0.7942220218664101,False,6.666666666999999
_AJN8322.NEF,NIKON,2500,0.06666666667,31.770967550795323,16.915336175305008,32.93108737811456,0.7844824879830613,0.5222729535928187,0.8303155332177283,False,10.0
_AJN8323.NEF,NIKON,2500,0.05,30.876536600611544,20.511855665456604,34.04731393015005,0.769999214823931,0.6458780441442867,0.8837627555353698,False,13.333333333999999
_AJN8324.NEF,NIKON,2500,0.03333333333,30.55643767882464,18.63008609301346,31.711590433694056,0.7600198571664674,0.3426929569606078,0.6425633612288584,False,20.000000003
_AJN8325.NEF,NIKON,2500,0.02222222222,29.94100089080008,19.75039893236864,28.923632809850844,0.7511555530184911,0.3707478441341129,0.5070026495305715,False,30.0000000045
_AJN8326.NEF,NIKON,2500,0.01666666667,29.21064315393272,21.80978374806348,29.13407260165873,0.7439915672828835,0.5202379053017504,0.5768580312666567,False,39.999999994
_AJN8327.NEF,NIKON,2500,0.01111111111,28.82237120462649,23.105672193878025,30.24615039214701,0.7372957917862784,0.5444409451740064,0.610295153059993,False,60.000000009
_AJN8328.NEF,NIKON,2500,0.008,28.65021909151572,22.634832349115133,27.46036809881047,0.7332467957696239,0.418411324673712,0.4637091836913884,False,83.3333333375
_AJN8329.NEF,NIKON,2500,0.005555555556,28.45256264359339,24.25066131018891,24.99667784185093,0.7271104295610854,0.5404030342180776,0.4781463351809503,False,119.9999999964
_AJN8330.NEF,NIKON,2500,0.004,28.488829147091973,23.3283945081906,23.786838633725765,0.7270047670761833,0.4313573650085358,0.4057271397318877,False,166.666666675
_AJN8331.NEF,NIKON,2500,0.002857142857,28.328066693603333,23.788279415599973,23.978070176502552,0.7233830098211675,0.4265771972627266,0.4097354352943223,False,233.33333335666666
_AJN8332.NEF,NIKON,2500,0.002,28.32306089403407,24.065013415981376,24.05636907688262,0.7230120852072002,0.4435473970899717,0.444603190001484,False,333.33333335
_AJN8333.NEF,NIKON,6400,0.3333333333,0.0,0.0,0.0,0.0,0.0,0.0,True,1.0
